"ini_monit","mac_local","mac_destino","rssi","lqi","latencia","desconexion","tiempo"
2019-02-25 11:46:13,"0010","0006",-92,107,0.0959959030151367,0,1551095173
2019-02-25 11:46:13,"0010","0002",-100,106,0.0959959030151367,0,1551095173
2019-02-25 11:46:14,"0010","0004",-60,108,0.0960433483123779,0,1551095174
2019-02-25 11:46:14,"0010","0005",-96,106,0.0960433483123779,0,1551095174
2019-02-25 11:46:14,"0010","0006",-92,107,0.0960433483123779,0,1551095174
2019-02-25 11:46:14,"0010","0002",-100,106,0.0960433483123779,0,1551095174
2019-02-25 11:46:21,"0010","0004",-60,108,0.0980262756347656,0,1551095181
2019-02-25 11:46:21,"0010","0005",-99,108,0.0980262756347656,0,1551095181
2019-02-25 11:46:21,"0010","0006",-97,108,0.0980262756347656,0,1551095181
2019-02-25 11:46:21,"0010","0002",-102,108,0.0980262756347656,0,1551095181
2019-02-25 11:46:22,"0010","0004",-60,108,0.100030422210693,0,1551095182
2019-02-25 11:46:22,"0010","0005",-99,108,0.100030422210693,0,1551095182
2019-02-25 11:46:22,"0010","0006",-97,108,0.100030422210693,0,1551095182
2019-02-25 11:46:22,"0010","0002",-102,108,0.100030422210693,0,1551095182
2019-02-25 11:46:29,"0010","0004",-60,108,0.0980381965637207,0,1551095189
2019-02-25 11:46:29,"0010","0005",-99,108,0.0980381965637207,0,1551095189
2019-02-25 11:46:29,"0010","0006",-97,108,0.0980381965637207,0,1551095189
2019-02-25 11:46:29,"0010","0002",-102,108,0.0980381965637207,0,1551095189
2019-02-25 11:46:30,"0010","0004",-60,108,0.102976560592651,0,1551095190
2019-02-25 11:46:30,"0010","0005",-99,108,0.102976560592651,0,1551095190
2019-02-25 11:46:30,"0010","0006",-97,108,0.102976560592651,0,1551095190
2019-02-25 11:46:30,"0010","0002",-102,108,0.102976560592651,0,1551095190
2019-02-25 11:46:35,"0010","0004",-60,108,0.10004734992981,0,1551095195
2019-02-25 11:46:35,"0010","0005",-99,108,0.10004734992981,0,1551095195
2019-02-25 11:46:35,"0010","0006",-97,108,0.10004734992981,0,1551095195
2019-02-25 11:46:35,"0010","0002",-102,108,0.10004734992981,0,1551095195
2019-02-25 11:46:37,"0010","0004",-60,108,0.102045059204102,0,1551095197
2019-02-25 11:46:37,"0010","0005",-99,108,0.102045059204102,0,1551095197
2019-02-25 11:46:37,"0010","0006",-97,108,0.102045059204102,0,1551095197
2019-02-25 11:46:37,"0010","0002",-102,108,0.102045059204102,0,1551095197
2019-02-25 11:46:44,"0010","0004",-57,60,0.0980420112609863,0,1551095204
2019-02-25 11:46:44,"0010","0005",-99,108,0.0980420112609863,0,1551095204
2019-02-25 11:46:44,"0010","0006",-97,60,0.0980420112609863,0,1551095204
2019-02-25 11:46:44,"0010","0002",-102,60,0.0980420112609863,0,1551095204
2019-02-25 11:46:45,"0010","0004",-57,60,0.102045059204102,0,1551095205
2019-02-25 11:46:45,"0010","0005",-99,108,0.102045059204102,0,1551095205
2019-02-25 11:46:45,"0010","0006",-97,60,0.102045059204102,0,1551095205
2019-02-25 11:46:45,"0010","0002",-102,60,0.102045059204102,0,1551095205
2019-02-25 11:46:52,"0010","0004",-57,60,0.0990054607391357,0,1551095212
2019-02-25 11:46:52,"0010","0005",-99,108,0.0990054607391357,0,1551095212
2019-02-25 11:46:52,"0010","0006",-97,60,0.0990054607391357,0,1551095212
2019-02-25 11:46:52,"0010","0002",-102,60,0.0990054607391357,0,1551095212
2019-02-25 11:46:53,"0010","0004",-57,60,0.0980722904205322,0,1551095213
2019-02-25 11:46:53,"0010","0005",-99,108,0.0980722904205322,0,1551095213
2019-02-25 11:46:53,"0010","0006",-97,60,0.0980722904205322,0,1551095213
2019-02-25 11:46:53,"0010","0002",-102,60,0.0980722904205322,0,1551095213
2019-02-25 11:46:59,"0010","0004",-57,108,0.103043079376221,0,1551095219
2019-02-25 11:46:59,"0010","0005",-98,108,0.103043079376221,0,1551095219
2019-02-25 11:46:59,"0010","0006",-93,108,0.103043079376221,0,1551095219
2019-02-25 11:46:59,"0010","0002",-103,58,0.103043079376221,0,1551095219
2019-02-25 11:47:01,"0010","0004",-57,108,0.0970008373260498,0,1551095221
2019-02-25 11:47:01,"0010","0005",-98,108,0.0970008373260498,0,1551095221
2019-02-25 11:47:01,"0010","0006",-93,108,0.0970008373260498,0,1551095221
2019-02-25 11:47:01,"0010","0002",-103,58,0.0970008373260498,0,1551095221
2019-02-25 11:47:07,"0010","0004",-57,108,0.0980439186096191,0,1551095227
2019-02-25 11:47:07,"0010","0005",-98,108,0.0980439186096191,0,1551095227
2019-02-25 11:47:07,"0010","0006",-94,108,0.0980439186096191,0,1551095227
2019-02-25 11:47:07,"0010","0002",-101,108,0.0980439186096191,0,1551095227
2019-02-25 11:47:08,"0010","0004",-57,108,0.100043058395386,0,1551095228
2019-02-25 11:47:08,"0010","0005",-98,108,0.100043058395386,0,1551095228
2019-02-25 11:47:08,"0010","0006",-94,108,0.100043058395386,0,1551095228
2019-02-25 11:47:08,"0010","0002",-101,108,0.100043058395386,0,1551095228
2019-02-25 11:47:14,"0010","0004",-57,108,0.0989925861358643,0,1551095234
2019-02-25 11:47:14,"0010","0005",-98,108,0.0989925861358643,0,1551095234
2019-02-25 11:47:14,"0010","0006",-94,108,0.0989925861358643,0,1551095234
2019-02-25 11:47:14,"0010","0002",-101,108,0.0989925861358643,0,1551095234
2019-02-25 11:47:15,"0010","0004",-57,108,0.100995302200317,0,1551095235
2019-02-25 11:47:15,"0010","0005",-98,108,0.100995302200317,0,1551095235
2019-02-25 11:47:15,"0010","0006",-94,108,0.100995302200317,0,1551095235
2019-02-25 11:47:15,"0010","0002",-101,108,0.100995302200317,0,1551095235
2019-02-25 11:47:21,"0010","0004",-57,108,0.0999925136566162,0,1551095241
2019-02-25 11:47:21,"0010","0005",-98,108,0.0999925136566162,0,1551095241
2019-02-25 11:47:21,"0010","0006",-94,108,0.0999925136566162,0,1551095241
2019-02-25 11:47:21,"0010","0002",-101,108,0.0999925136566162,0,1551095241
2019-02-25 11:47:22,"0010","0004",-57,108,0.101034641265869,0,1551095242
2019-02-25 11:47:22,"0010","0005",-98,108,0.101034641265869,0,1551095242
